,,,
,Ano Referencia,,
,2026,,
,Código,Descrição,Valor Liquidado
,,,
,3.3.90.39.19,MANUTENÇÃO E CONSERVAÇÃO DE VEÍCULOS,"R$ 254.324,25"
,,,
,Código,Descrição,Valor Liquidado
,,,
,3.3.90.30.39,MATERIAL PARA MANUTENÇÃO DE VEÍCULOS,"R$ 631.427,84"
,,,
,,,TOTAL 2026 até dia 24/06/2026
,,,"R$ 885.752,09"
,,,
,Ano Referencia,,
,2025,,
,Código,Descrição,Valor Pago
,,,
,3.3.90.39.19,MANUTENÇÃO E CONSERVAÇÃO DE VEÍCULOS,"R$ 327.029,24"
,,,
,Código,Descrição,Valor Pago
,,,
,3.3.90.30.39,MATERIAL PARA MANUTENÇÃO DE VEÍCULOS,"R$ 624.480,59"
,,,
,,,TOTAL 2025
,,,"R$ 951.509,83"
, .,,
,Ano Referencia,,
,2024,,
,Código,Descrição,Valor Pago
,,,
,3.3.90.39.19,MANUTENÇÃO E CONSERVAÇÃO DE VEÍCULOS,"R$ 313.185,03"
,,,
,Código,Descrição,Valor Pago
,,,
,3.3.90.30.39,MATERIAL PARA MANUTENÇÃO DE VEÍCULOS,"R$ 620.918,04"
,,,
,,,TOTAL 2024 
,,,"R$ 934.103,07"
,,,
,Ano Referencia,,
,2023,,
,Código,Descrição,Valor Pago
,,,
,3.3.90.39.19,MANUTENÇÃO E CONSERVAÇÃO DE VEÍCULOS,"R$ 399.955,48"
,,,
,Código,Descrição,Valor Pago
,,,
,3.3.90.30.39,MATERIAL PARA MANUTENÇÃO DE VEÍCULOS,"R$ 1.212.404,65"
,,,
,,,TOTAL 2023
,,,"R$ 1.612.360,13"
,,,
,,,
,Ano Referencia,,
,2022,,
,Código,Descrição,Valor Pago
,,,
,3.3.90.39.19,MANUTENÇÃO E CONSERVAÇÃO DE VEÍCULOS,"R$ 790.105,90"
,,,
,Código,Descrição,Valor Pago
,,,
,3.3.90.30.39,MATERIAL PARA MANUTENÇÃO DE VEÍCULOS,"R$ 1.686.324,40"
,,,
,,,TOTAL 2022
,,,"R$ 2.476.430,30"
,,,
,Ano Referencia,,
,2021,,
,Código,Descrição,Valor Pago
,,,
,3.3.90.39.19,MANUTENÇÃO E CONSERVAÇÃO DE VEÍCULOS,"R$ 409.770,85"
,,,
,Código,Descrição,Valor Pago
,,,
,3.3.90.30.39,MATERIAL PARA MANUTENÇÃO DE VEÍCULOS,"R$ 907.270,74"
,,,
,,,TOTAL 2021
,,,"R$ 1.317.041,59"
,,,
,,,
,Ano Referencia,,
,2020,,
,Código,Descrição,Valor Pago
,,,
,3.3.90.39.19,MANUTENÇÃO E CONSERVAÇÃO DE VEÍCULOS,"R$ 98.290,27"
,,,
,Código,Descrição,Valor Pago
,,,
,3.3.90.30.39,MATERIAL PARA MANUTENÇÃO DE VEÍCULOS,"R$ 195.774,37"
,,,
,,,TOTAL 2020
,,,"R$ 294.064,64"
,,,
,Ano Referencia,,
,2024,,
,Código,Descrição,Valor Pago
,-,,"R$ 1.459.106,75"
,-,,
,,,
,,,TOTAL 2025
,,,"R$ 1.459.106,75"
,,,
,Ano Referencia,,
,2024,,
,Código,Descrição,Valor Pago
,-,AUTO POSTO MONTE SERENO,"R$ 1.044.990,29"
,-,AGRO CAMPO,"R$ 215.523,84"
,,,
,,,TOTAL 2024
,,,"R$ 1.260.514,13"
,Ano Referencia,,
,2023,,
,Código,Descrição,Valor Pago
,-,AUTO POSTO MONTE SERENO,"R$ 1.456.050,22"
,-,AGRO CAMPO,"R$ 312.026,50"
,,,
,,,TOTAL 2023
,,,"R$ 1.768.076,72"
,Ano Referencia,,
,2022,,
,Código,Descrição,Valor Pago
,-,AUTO POSTO MONTE SERENO,"R$ 1.246.566,52"
,-,AGRO CAMPO,"R$ 344.578,20"
,,,
,,,TOTAL 2022
,,,"R$ 1.591.144,72"
,Ano Referencia,,
,2021,,
,Código,Descrição,Valor Pago
,-,AUTO POSTO MONTE SERENO,"R$ 407.353,64"
,-,AUTO POSTO NIVALDO MAZZI JUNIOR LTDA	,"R$ 57.303,70"
,-,AGRO CAMPO,"R$ 277.063,21"
,,,
,,,TOTAL 2021
,,,"R$ 741.720,55"
,Ano Referencia,,
,2020,,
,Código,Descrição,Valor Pago
,-,AUTO POSTO AUTO POSTO,"R$ 146.345,85"
,,AUTO POSTO MONTE SERENO,"R$ 441.746,20"
,-,AGRO CAMPO,"R$ 146.345,85"
,,,
,,,TOTAL 2020
,,,"R$ 734.437,90"